#um    star(nufnu) model
1.000000000000000056e-01 1.042880175258985695e-27 2.222952205105725315e-61
1.250576959999999960e-01 2.773088721438233840e-23 2.773088692721325913e-23
1.563942732999999974e-01 3.517810961561379949e-20 3.517810925132665421e-20
1.955830748000000063e-01 1.872741583986760809e-17 1.872741564593873625e-17
2.445916871000000103e-01 5.242438911729992716e-15 5.242438857442715932e-15
3.058807284999999765e-01 6.587030427562848176e-13 6.587030359357961574e-13
3.825273914999999803e-01 1.118273275306964092e-11 1.118273263854449310e-11
4.783799423000000273e-01 4.931547778281129446e-11 4.931547786030866344e-11
5.982509338999999482e-01 1.216244956370656398e-10 1.216245702107639437e-10
7.481588341999999558e-01 1.730962281705337998e-10 1.730997290608334672e-10
9.356302004000000005e-01 2.715254412172103296e-10 2.715940644231308098e-10
1.170077572000000066e+00 3.175947909126470052e-10 3.182473713363300609e-10
1.463272051999999990e+00 3.427209820323177833e-10 3.461540050950353427e-10
1.829934315000000034e+00 2.915389977123827988e-10 3.025810071864071382e-10
2.288473692000000170e+00 1.640320763798808199e-10 1.881462858283354976e-10
2.861912472999999846e+00 9.907432249202034139e-11 1.385239850795971573e-10
3.579041800000000162e+00 5.592779282587311736e-11 1.044507586370769786e-10
4.475867212999999900e+00 2.677356268405905346e-11 7.619381942911758335e-11
5.597416412000000285e+00 1.544437330020326170e-11 6.220865627320384665e-11
7.000000000000000000e+00 9.442003743054511848e-12 5.029865267469710516e-11
7.180503189000000397e+00 8.747695357757427130e-12 4.872146626379627306e-11
7.365660862999999559e+00 8.104442252051340301e-12 4.732899648757539700e-11
7.555593045000000174e+00 7.508490124772191025e-12 4.704383478621393996e-11
7.750422849999999642e+00 6.956360747438369152e-12 4.677575791850336731e-11
7.950276568999999682e+00 6.444831655960664966e-12 4.756477457722624283e-11
8.155283751000000692e+00 5.970917348128179386e-12 4.923727080338058128e-11
8.365577282000000281e+00 5.531851860198071835e-12 5.081879112557617455e-11
8.581293477999999197e+00 5.125072618046570321e-12 5.255254191076543825e-11
8.802572168999999391e+00 4.748205482717037973e-12 5.426924779206165344e-11
9.029556789000000805e+00 4.399050899883211262e-12 5.588913060464116432e-11
9.262394474000000599e+00 4.075571053367173151e-12 5.734197818245008109e-11
9.501236151000000518e+00 3.775877975521520316e-12 5.881816381604057338e-11
9.746236638999999258e+00 3.498222531465620761e-12 5.865334903749474019e-11
9.997554751999999212e+00 3.240984205430168283e-12 5.789425779277636305e-11
1.025535340000000062e+01 3.002661643691702741e-12 5.707749419849418168e-11
1.051979968000000021e+01 2.781863897496947278e-12 5.550693302516875148e-11
1.079106501999999956e+01 2.577302294348407664e-12 5.396447999764797806e-11
1.106932525999999939e+01 2.387782923645544882e-12 5.231079132165051493e-11
1.135476075999999956e+01 2.212199673193579733e-12 5.054902563650344390e-11
1.164755654000000007e+01 2.049527764579121674e-12 4.879493740903950143e-11
1.194790242000000013e+01 1.898817771231455712e-12 4.700390638001669827e-11
1.225599305999999977e+01 1.759190088309868738e-12 4.520578211947441945e-11
1.257202816999999939e+01 1.629829790876206143e-12 4.354672431656335485e-11
1.289621263000000084e+01 1.509981871748467583e-12 4.218331832693805699e-11
1.322875656000000077e+01 1.398946851689452394e-12 4.082317829557434821e-11
1.356987552000000008e+01 1.296076681665793734e-12 3.988182649579592553e-11
1.391979062999999961e+01 1.200770968274490394e-12 3.910717808033596268e-11
1.427872872000000015e+01 1.112473464602599801e-12 3.852407104095758714e-11
1.464692244000000088e+01 1.030668831659721805e-12 3.901119251724399808e-11
1.502461047000000072e+01 9.548796206531837051e-13 3.954695131880864236e-11
1.541203763000000038e+01 8.846634943797793778e-13 4.022825177409677954e-11
1.580945503999999957e+01 8.196106415405539806e-13 4.104117751252251199e-11
1.621712034000000102e+01 7.593413853014467946e-13 4.190748037642913958e-11
1.663529774999999944e+01 7.035039696393591594e-13 4.231118599166689212e-11
1.706425837000000101e+01 6.517725022933004788e-13 4.273316790672618740e-11
1.750428022999999911e+01 6.038450575937138798e-13 4.310651763673286130e-11
1.795564857000000103e+01 5.594419099355075379e-13 4.334779452762824039e-11
1.841865598000000048e+01 5.183039034838736560e-13 4.362725744977592511e-11
1.889360256999999876e+01 4.801909397373437548e-13 4.353488061594887941e-11
1.938079620999999975e+01 4.448805750881200266e-13 4.332964535048525553e-11
1.988055270999999991e+01 4.121667230967045426e-13 4.311086918129513727e-11
2.039319602000000131e+01 3.818584516143899479e-13 4.275126775789912023e-11
2.091905842999999976e+01 3.537788690396709223e-13 4.239485186644204625e-11
2.145848082999999917e+01 3.277640905061213601e-13 4.215533855367386327e-11
2.201181285999999915e+01 3.036622830144154698e-13 4.201295464508232410e-11
2.257941320000000118e+01 2.813327781180226447e-13 4.187931713152224893e-11
2.316164978000000119e+01 2.606452511644946978e-13 4.196304683902191337e-11
2.375890001999999868e+01 2.414789609481133502e-13 4.207069177040282677e-11
2.437155105000000077e+01 2.237220449473477720e-13 4.223757433622428091e-11
2.500000000000000000e+01 2.072708661934876300e-13 4.249651151649163022e-11
3.073733534000000134e+01 1.115217671429740007e-13 4.124944482566783034e-11
3.779135136000000017e+01 6.000411333263306555e-14 3.743518035166947043e-11
4.646421758999999696e+01 3.228511985858711100e-14 3.438065841337734634e-11
5.712744949999999733e+01 1.737095851607525965e-14 3.103928926260457038e-11
7.023782289999999762e+01 9.346417209988529011e-15 2.708280247154545939e-11
8.635694064999999853e+01 5.028825241121642056e-15 2.288819796611667697e-11
1.061752898000000016e+02 2.705751597897645796e-15 1.893758100619828803e-11
1.305418194000000085e+02 1.455825439371329396e-15 1.548702878107346156e-11
1.605003072000000088e+02 7.833046129930170482e-16 1.282591096143472584e-11
1.973340705999999898e+02 4.214558286706854207e-16 1.100590678915055860e-11
2.426209401000000128e+02 2.267636530753347410e-16 9.724169512533831076e-12
2.983008479000000079e+02 1.220098308130756224e-16 8.633760268605121933e-12
3.667589277999999808e+02 6.564719968650152704e-17 7.419934498725432253e-12
4.509276861999999824e+02 3.532137366688705022e-17 5.851449011373019233e-12
5.544126201999999921e+02 1.900461016228950934e-17 4.147840533978556556e-12
6.816466649999999845e+02 1.022540093571815671e-17 2.696343431738400837e-12
8.380800851000000193e+02 5.501761068853735053e-18 1.610401801365736294e-12
1.030413945000000012e+03 2.960213984511027311e-18 8.889248444160476892e-13
1.266887157999999999e+03 1.592738530311491375e-18 4.586948612972067053e-13
1.557629417000000103e+03 8.569704889449581632e-19 2.214601218171888066e-13
1.915095109000000093e+03 4.610916385683595582e-19 9.812666417199114185e-14
2.354596824000000197e+03 2.480896387836836499e-19 3.985446089142861940e-14
2.894961287000000084e+03 1.334842442586643489e-19 1.490903542661022506e-14
3.559335834999999861e+03 7.182098998307665718e-20 5.256905279275972933e-15
4.376179965999999695e+03 3.864317195188497738e-20 1.792042943495647863e-15
5.380484445000000051e+03 2.079189856401371443e-20 5.241241511841301804e-16
6.615270188000000417e+03 1.118704868032227227e-20 1.554881195329867824e-16
8.133431126000000404e+03 6.019174140620230975e-21 5.455001396403121168e-17
1.000000000000000000e+04 3.238607284117265554e-21 2.008180255715420213e-17
